p,q,mae
0,1,0.03068907957111275
0,2,0.030812938306629362
0,3,0.03093386611107867
0,4,0.03101027343922473
0,5,0.031094013278496015
1,0,0.030693115783663752
1,1,0.03290012918810815
1,2,NA
1,3,NA
1,4,NA
1,5,NA
2,0,0.030790097027689183
2,1,0.03126016686670327
2,2,NA
2,3,NA
2,4,0.03127249304747047
2,5,NA
3,0,0.030893258724776645
3,1,0.031295086572225635
3,2,0.03167630941035935
3,3,NA
3,4,0.031338602652507215
3,5,0.03130786701947397
4,0,0.030998783475042646
4,1,0.031044076677015635
4,2,0.031316332393234336
4,3,NA
4,4,0.03206284198325937
4,5,0.031550980189739716
5,0,0.031074425424228332
5,1,0.031149068102170486
5,2,0.03135462037352445
5,3,0.031440827471326704
5,4,0.031429417368716954
5,5,0.031498377070191826
