p,q,mae,mase
0,1,0.031004073063415495,1.0020409624064048
0,2,0.03108159766756284,1.0045465309099717
0,3,0.03113276182335341,1.0062001388022068
0,4,0.03115729257047817,1.00699296409994
1,0,0.031012373605864854,1.00230923307934
1,1,0.031453294785425426,1.0165596537324117
1,2,NA,NA
1,3,NA,NA
2,0,0.03108191803587184,1.0045568851033715
2,1,0.03127652013656284,1.0108463579692064
2,2,NA,NA
3,0,0.03112287587333501,1.005880628302716
3,1,0.03122924544740593,1.0093184562988884
4,0,0.03115334448683933,1.0068653633966054
