Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=7E56213D3FE620A748F89EF1F5C0D614?SERIES_KEY=165.YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y&start=01-01-2005&end=01-04-2021&submitOptions.x=0&submitOptions.y=0&trans=N
;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y
;Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve spot rate, 10-year maturity - Euro, provided by ECB
Collection:;End of period (E)
Period\Unit:;[Percent per annum ]
2021-04-01;-0,304831
2021-03-31;-0,278650
2021-03-30;-0,259579
2021-03-29;-0,309066
2021-03-26;-0,330952
2021-03-25;-0,359631
2021-03-24;-0,327322
2021-03-23;-0,322874
2021-03-22;-0,288905
2021-03-19;-0,274256
2021-03-18;-0,246471
2021-03-17;-0,281399
2021-03-16;-0,325950
2021-03-15;-0,295282
2021-03-12;-0,282195
2021-03-11;-0,324400
2021-03-10;-0,299915
2021-03-09;-0,304165
2021-03-08;-0,275640
2021-03-05;-0,283780
2021-03-04;-0,307600
2021-03-03;-0,293597
2021-03-02;-0,309626
2021-03-01;-0,324043
2021-02-26;-0,245739
2021-02-25;-0,227424
2021-02-24;-0,259787
2021-02-23;-0,281875
2021-02-22;-0,328670
2021-02-19;-0,301457
2021-02-18;-0,315766
2021-02-17;-0,350053
2021-02-16;-0,347939
2021-02-15;-0,374650
2021-02-12;-0,416429
2021-02-11;-0,455240
2021-02-10;-0,448791
2021-02-09;-0,441837
2021-02-08;-0,420076
2021-02-05;-0,454709
2021-02-04;-0,448923
2021-02-03;-0,465703
2021-02-02;-0,485089
2021-02-01;-0,511204
2021-01-29;-0,512255
2021-01-28;-0,541738
2021-01-27;-0,557161
2021-01-26;-0,540520
2021-01-25;-0,551574
2021-01-22;-0,515058
2021-01-21;-0,500689
2021-01-20;-0,535760
2021-01-19;-0,518867
2021-01-18;-0,531180
2021-01-15;-0,543921
2021-01-14;-0,563357
2021-01-13;-0,526098
2021-01-12;-0,491226
2021-01-11;-0,515406
2021-01-08;-0,544604
2021-01-07;-0,542761
2021-01-06;-0,540184
