Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2005-11-28,3.419,3.437,3.397,3.397
2005-11-29,3.404,3.45,3.369,3.45
2005-11-30,3.443,3.455,3.425,3.44
2005-12-01,3.433,3.446,3.365,3.392
2005-12-02,3.39,3.414,3.379,3.379
2005-12-05,3.397,3.425,3.387,3.399
2005-12-06,3.394,3.397,3.354,3.354
2005-12-07,3.351,3.39,3.351,3.387
2005-12-08,3.374,3.381,3.349,3.357
2005-12-09,3.367,3.427,3.356,3.426
2005-12-12,3.421,3.426,3.398,3.405
2005-12-13,3.401,3.423,3.378,3.385
2005-12-14,3.358,3.371,3.338,3.351
2005-12-15,3.345,3.367,3.332,3.365
2005-12-16,3.347,3.36,3.327,3.34
2005-12-19,3.331,3.346,3.316,3.327
2005-12-20,3.327,3.356,3.322,3.336
2005-12-21,3.34,3.377,3.336,3.375
2005-12-22,3.37,3.396,3.356,3.357
2005-12-23,3.344,3.351,3.303,3.316
2005-12-26,3.347,3.347,3.347,3.347
2005-12-27,3.32,3.336,3.317,3.321
2005-12-28,3.315,3.329,3.284,3.286
2005-12-29,3.301,3.315,3.299,3.314
2005-12-30,3.303,3.303,3.269,3.293
2006-01-02,3.313,3.344,3.313,3.325
2006-01-03,3.328,3.358,3.311,3.311
2006-01-04,3.314,3.314,3.257,3.259
2006-01-05,3.256,3.289,3.256,3.263
2006-01-06,3.263,3.268,3.232,3.249
2006-01-09,3.253,3.256,3.233,3.239
2006-01-10,3.244,3.273,3.243,3.272
2006-01-11,3.28,3.293,3.273,3.292
2006-01-12,3.292,3.298,3.249,3.256
2006-01-13,3.262,3.28,3.243,3.254
2006-01-16,3.254,3.268,3.253,3.263
2006-01-17,3.257,3.257,3.233,3.249
2006-01-18,3.229,3.277,3.217,3.259
2006-01-19,3.289,3.339,3.285,3.334
2006-01-20,3.34,3.358,3.314,3.348
2006-01-23,3.334,3.383,3.332,3.373
2006-01-24,3.374,3.381,3.353,3.371
2006-01-25,3.385,3.416,3.376,3.415
2006-01-26,3.425,3.471,3.421,3.468
2006-01-27,3.48,3.496,3.444,3.482
2006-01-30,3.481,3.5,3.467,3.473
2006-01-31,3.466,3.493,3.461,3.461
2006-02-01,3.465,3.525,3.442,3.516
2006-02-02,3.521,3.535,3.498,3.516
2006-02-03,3.515,3.529,3.483,3.485
2006-02-06,3.482,3.488,3.459,3.483
2006-02-07,3.487,3.505,3.454,3.505
2006-02-08,3.493,3.509,3.482,3.492
2006-02-09,3.493,3.529,3.472,3.479
2006-02-10,3.478,3.478,3.421,3.459
2006-02-13,3.474,3.508,3.474,3.492
